,Name,Address,Tags,Price,Google Rating,Type,Latitude,Longitude,Distance
0,Petrocelli's Bar,"Savignyplatz 589, 10623 Berlin","Italian, Lunch",€€€,3.7,Restaurant,52.5059131,13.3230841,0.26094226942285575
1,Koshary Lux,"Grolmanstraße 27, 10623 Berlin","Oriental Streetfood, Delivery",€,4.5,Restaurant,52.5046249,13.3232351,0.13230223562166255
2,Saigon Green,"Kantstraße 23, 10623 Berlin","Vietnamese, Lunch, Cash only",€€,4.4,Restaurant,52.5060569,13.3208622,0.35878856377495194
3,Schwarzes Café,"Kantstraße 148, 10623 Berlin","European, Cash only",€€,4.4,Café,52.5055586,13.3241601,0.20362411172652323
4,Kaffeehaus Mila,"Grolmanstraße 40, 10623 Berlin","European, Bonus for *um",€€,4.1,Café,52.5037437,13.3245431,0.0
5,"Tommi's Burger Joint, Kudamm","Kurfürstendamm 212, 10719 Berlin","American, Burger, Tuesday offer",€€,4.4,Restaurant,52.5018416,13.3253324,0.21834060011672451
6,ZEN Restaurant,"Uhlandstraße 170a, 10719 Berlin","Asian, Sushi, Lunch",€€,4.5,Restaurant,52.5008584,13.3260044,0.3360522684050601
7,Arirang ,"Uhlandstraße 194, 10623 Berlin","Korean, Cash only",€,3.8,Restaurant,52.5069325,13.3262444,0.37317101357098614
8,Ashoka,"Grolmanstraße 51, 10623 Berlin","Indian, Vegetarian food, Delivery",€,4.1,Restaurant,52.507014,13.3217458,0.4104969385791497
9,Stulle mit Brot,"Jeanne-Mammen-Bogen 575, 10623 Berlin","Soup, Stulle",€,4.6,Restaurant,52.5046801,13.3244928,0.10425566518949363
10,Elephant,"Fasanenstraße 15, 10623 Berlin","Asian, Thai",€€,4.4,Restaurant,52.5044792,13.327536,0.21909068634279863
11,Café Bleibtreu,"Bleibtreustraße 45, 10623 Berlin","European, German",€,4.3,Restaurant,52.5039286,13.3199842,0.3102520108824089
12,Berliner Kaffeerösterei,"Uhlandstraße 173/174, 10719 Berlin",Café,€€,4.5,Café,52.5014612,13.3253136,0.2593226229794435
13,Zaim Falafel,"Kantstraße 25, 10623 Berlin",Lebanese,€,4.6,Restaurant,52.5061244,13.3196593,0.4244463828335034
14,What do you fancy love?,"Knesebeckstraße 68-69, 10623 Berlin",Café,€€,4.3,Café,52.5029511,13.3222749,0.17748736792543013
15,HABEL am Kudamm,"Grolmanstraße 39, 10623 Berlin","Café, Lunch",€€,4.6,Café,52.5035249,13.3245947,0.024598219004519545
16,Nah am Wasser,"Knesebeckstraße 76, 10623 Berlin","German, Breakfast, Lunch, Vegetarian food, Vegan food",€€,4.2,Restaurant,52.5039411,13.3223998,0.14718763430370058
17,Osteria Culaccino,"Grolmanstraße 21, 10623 Berlin","Italian, Steak, Seafood, Vegetarian food",€€,4.4,Restaurant,52.5073059,13.3209968,0.46379970909368706
18,Cassambalis Taverna,"Grolmanstraße 35, 10623 Berlin","European, Mediterranean, Seafood",€€,4.4,Restaurant,52.5035375,13.3241078,0.037419436270774736
19,1900 Cafe Bistro,"Knesebeckstraße 76, 10623 Berlin","Café, Breakfast, Lunch, Cake ",€€,4.5,Restaurant,52.5039411,13.3223998,0.14718763430370058
20,Bertolini - Feinkost,"Grolmanstraße  22, 10623 Berlin","Italian, Delivery",€€,4.7,Restaurant,52.50686895,13.321295749727314,0.41178122052782834
21,Inizio Ristorante Bar,"Fasanenstraße 77, 10623 Berlin","Italian, Lunch",€??,4.5,Restaurant,52.503772,13.3278342,0.223502499488139
22,Burger Now,"Fasanenstraße 14, 10623 Berlin","American, Burger, Fast food, Delivery",€,4.3,Restaurant,52.5045321,13.3270268,0.1901064157453092
23,Simela finest food,"Kantstraße 146, 10623 Berlin","Modern European, Italian, Pizza",€€,4.3,Restaurant,52.5055626,13.3233342,0.2184143910895543
24,Princess Cheesecake Berlin GmbH,"Knesebeckstraße 32, 10623 Berlin","Café, International",€€,4.3,Café,52.5032737,13.321692,0.20054326642668996
25,Cappuccino Grand Café by petrocelli,"Knesebeckstraße 34, 10623 Berlin","Café, Mediterranean, Italian",€€,3.8,Café,52.5030902,13.321717,0.20522212449776556
26,Reinhard's am Kurfürstendamm,"Kurfürstendamm 27, 10719 Berlin","Modern European, German, Bar ",€€€,4.2,Restaurant,52.5031309,13.3271435,0.1892892965895323
27,ROMERO Restaurant-Pizzeria,"Fasanenstraße 81a, 10623 Berlin","European, Mediterranean, Italian, Pizza, Vegetarian food, Vegan food",€€,4.2,Restaurant,52.5047787,13.328134,0.2696667245983784
28,Bagco Coffee Bar,"Kantstraße 154A, 10623 Berlin","Café, Breakfast",€€,4.4,Café,52.5053371,13.3274052,0.2630754002968955
29,Stick’s n Sushi,"Kantstraße 152, 10623 Berlin","Japanese, Seafood, Sushi",€€,4.4,Restaurant,52.5053375,13.3265501,0.22366687074514435
30,Riviera,"Knesebeckstraße 70, 10623 Berlin","Mediterranean, Italian",€€€,4.3,Restaurant,52.503179,13.3222486,0.16800205576342497
31,Lily Grill-Club by Lily Burger,"Fasanenstraße 14, 10623 Berlin","American, Burger, Fast food, Vegetarian food, Vegan food, Breakfast, Steak",€€,3.8,Restaurant,52.5045321,13.3270268,0.1901064157453092
32,Adéle's Café Lita,"Uhlandstraße 184, 10623 Berlin","French, German, African, South American, Lunch, Vegetarian food, Breakfast, Sandwiches, Cake, Soup",€€,4.9,Café,52.5041057,13.325673,0.08665665168680758
33,Nicki´s Mommsen Café,"Mommsenstraße 5, 10629 Berlin",Café,€€,4.6,Café,52.5030834,13.3190137,0.38259546249045756
34,Pizza Bleibtreu,"Bleibtreustraße 41, 10623 Berlin",Pizza,€,4.3,Restaurant,52.5032038,13.3198912,0.3215491111083258
35,Ali Baba,"Bleibtreustraße 45, 10623 Berlin","Mediterranean, Italian, Pizza, Delivery",€,4.2,Restaurant,52.5039286,13.3199842,0.3102520108824089
36,Kouzina Berlin,"Else-Ury-Bogen 597, 10623 Berlin","Mediterranean, Greek, Vegetarian food",€,4.6,Restaurant,52.5050659,13.3213179,0.26383574040225954
37,12 Apostoli am Savignyplatz,"Bleibtreustraße 49, 10623 Berlin","International, Italian, Pizza",€€,4.1,Restaurant,52.5051746,13.3190659,0.40457097190787145
38,San Marino,"Savignyplatz 12, 10623 Berlin","Italian, Pizza, Vegetarian food",€€,3.9,Restaurant,52.505452,13.3215558,0.27799784704180847
39,Lubitsch,"Bleibtreustraße 47, 10623 Berlin","German, European, Central European",€€,4.4,Restaurant,52.5044418,13.3200457,0.31511631853037714
40,Coffee Drink Your Monkey,"Savignyplatz 11, 10623 Berlin","Café, Vegetarian food, Vegan food",€€,4.4,Café,52.5055383,13.3214359,0.29050859773175647
41,027 ~ Not Your Ordinary Kebab,"Kantstraße 143, 10623 Berlin","Turkish, Kebab, Delivery",€,4.2,Restaurant,52.5057606,13.3205376,0.35262829084924635
42,My Son,"Kantstraße 143, 10623 Berlin","Vietnamese, Sushi, Delivery",€??,4.3,Restaurant,52.5057606,13.3205376,0.35262829084924635
43,ROCA,"Hardenbergstraße 28, 10623 Berlin","European, Vegetarian food",€€€,4.3,Restaurant,52.50561705,13.332621153193186,0.5868003499312511
44,Zaddy's,"Joachimsthaler Straße 3, 10623 Berlin","Turkish, Kebab, Delivery, Vegetarian food, Fast food",€,4.2,Restaurant,52.5060608,13.331956,0.5655513943094456
45,Burgermeister Zoo,"Joachimsthaler Straße 1, 10623 Berlin","American, Fast food, Burger, Delivery",€€,4.4,Restaurant,52.505971,13.3317982,0.5514739949838112
46,Starbucks,"Joachimsthaler Straße 1, 10623 Berlin","Café, Delivery",€€,4.0,Café,52.505971,13.3317982,0.5514739949838112
47,Hakiki,"Joachimsthaler Straße 3, 10623 Berlin","Turkish, Fast food",€,4.1,Restaurant,52.5060608,13.331956,0.5655513943094456
48,Bier’s Mini 7,"Kantstraße 7, 10623 Berlin","German, Fast food",€??,4.3,Restaurant,52.5055145,13.3305178,0.4510226129016283
49,"Hanoi, Vietnamesische Küche & Sushi","Kantstraße 15, 10623 Berlin","Vietnamese, Sushi",€,4.3,Restaurant,52.5057278,13.3266392,0.2626861733795421
50,Trattoria Café Tatou,"Kantstraße 16, 10623 Berlin","European, Italian, Pizza, Delivery, Vegetarian food, Vegan food",€,4.1,Restaurant,52.5049519,13.3331664,0.6007887973603651
51,Chito Coffee,"Savignyplatz 3, 10623 Berlin","European, German, Spanish, Portuguese",€€,4.7,Restaurant,52.5059362,13.3233432,0.25721986687801723
52,Dicke Wirtin,"Carmerstraße 9, 10623 Berlin","European, Central European, German, Pub, Vegetarian food",€€,4.5,Restaurant,52.5065269,13.3234849,0.317932080465183
53,Mamma Monti,"Carmerstraße 11, 10623 Berlin","International, Mediterranean, Italian, Vegetarian food, Vegan food, Delivery",€€,4.6,Restaurant,52.5068339,13.3239064,0.34657510159147537
54,L'Osteria Berlin Savignyplatz,"Savignyplatz 5, 10623 Berlin","European, Italian, Pizza, Delivery",€€,3.9,Restaurant,52.5065041,13.3229365,0.3259658516658964
55,Aida,"Knesebeckstraße 83, 10623 Berlin","European, Mediterranean, Italian, Pizza, Vegetarian food, Vegan food, Delivery",€€,4.4,Restaurant,52.5068577,13.3228138,0.36587124179230723
56,Zwiebelfisch,"Savignyplatz 7, 10623 Berlin",Pub,€€,4.3,Restaurant,52.5065862,13.3216144,0.37362560405500483
57,Green Flavor,"Kantstrasse 22, 10623 Berlin","Asian, Chinese, Vegetarian food, Vegan food, Delivery",€€,4.4,Restaurant,52.5060457,13.32098,0.35235581184523684
58,Saigon Green,"Kantstraße 23, 10623 Berlin","Asian, Vietnamese, Vegetarian food, Vegan food",€€,4.4,Restaurant,52.5060569,13.3208622,0.35878856377495194
59,momiji,"Bleibtreustrasse 52, 10623 Berlin","Asian, Japanese, Vegetarian food, Vegan food, Delivery",€€,4.7,Restaurant,52.506562,13.3203813,0.42215247330203154
60,A Never Ever Ending Love Story,"Kantstraße 25, 10623 Berlin","Café, European, Vegetarian food, Vegan food, Breakfast",€€,4.5,Café,52.5061244,13.3196593,0.4244463828335034
61,Kuchi Kant,"Kantstraße 30, 10623 Berlin","Asian, Japanese, Sushi, Vegetarian food, Vegan food",€€,4.4,Restaurant,52.5062361,13.3178317,0.5334818644932965
62,Madame Ngo une Brasserie Hanoi,"Kantstraße 30, 10623 Berlin","Asian, Vietnamese, Vegetarian food, Vegan food, Delivery",€€,4.4,Restaurant,52.5062361,13.3178317,0.5334818644932965
63,Good Friends Restaurant,"Kantstraße 30, 10625 Berlin","Asian, Chinese, Cantonese, Vegetarian food, Vegan food, Delivery",€€,4.1,Restaurant,52.5062595,13.3156796,0.6637775003268428
